id,followers,genres,name,popularity
7frYUe4C7A42uZqCzD34Y4,53636.0,"['desi pop', 'punjabi hip hop', 'punjabi pop']",Sultaan,53
6acbdy69rtlv8m9EW31MYl,72684.0,"['afro dancehall', 'afropop', 'azontobeats', 'nigerian hip hop', 'nigerian pop']",Phyno,51
72578usTM6Cj5qWsi471Nc,248568.0,"['filmi', 'indian folk', 'indian rock', 'kannada pop']",Raghu Dixit,52
4rK6HLvoZhLFUTcUhG9WfC,5644.0,[],Deacon,52
6iv4lysB1yHXoZJ2gfqTdh,786.0,['indian fusion'],Shashwat Singh,56
7b6Ui7JVaBDEfZB9k6nHL0,701766.0,"['desi pop', 'hindi indie', 'indian indie', 'indian rock', 'new delhi indie', 'sufi']",The Local Train,57
5wJ1H6ud777odtZl5gG507,211174.0,"['desi pop', 'modern bollywood']",Vishal Mishra,66
4qYpTEJThZ8FC8KzyFrSWW,24992.0,"['afro dancehall', 'afropop', 'alte', 'nigerian pop']",Boj,51
1AavJbrmyu2LqJRUmR05RY,3410.0,"['environmental', 'sleep']",Ocean Sounds Collection,59
7rVV9d6vc4FLT752uRuk71,14660.0,"['desi hip hop', 'tamil pop']",Arivu,63
0n4a5imdLBN24fIrBWoqrv,328492.0,"['opm', 'pinoy hip hop', 'pinoy r&b', 'pinoy trap', 'tagalog rap']",Because,59
4gdMJYnopf2nEUcanAwstx,103905.0,"['hindi indie', 'indian indie', 'indian singer-songwriter']",Anuv Jain,58
3r0NbTTxtCBUyxcIR4prXr,66016.0,"['pinoy hip hop', 'tagalog rap']",Jr Crown,59
25A5LqeSK0yH4ks5fGxbI2,426.0,[],Sava,63
6xNUn9epduXbZmCgsxutSx,1720.0,['uk drill'],BM X MINI,63
2KewEocognk3bL1lQZe45G,10609.0,[],C2d,58
5FWTu1MZdB5fjKif2rZldJ,117070.0,"['dub', 'reggae', 'reggae cover', 'roots reggae']",Easy Star All-Stars,52
6Hs8U0JO2nacXFG4kp15Co,191599.0,"['chicha', 'chilean rock', 'cumbia chilena', 'latin alternative', 'latin rock', 'nueva cancion']",Chico Trujillo,55
06s35sbFfZJUEwFjAaZfiW,76227.0,"['alternative hip hop', 'trap latino']",Cookin Soul,58
7e3BSeFzlCGyAdbsUbgUaD,272543.0,['cuarteto'],Damián Córdoba,56
0bYQe0JDIjxkSHQoXlfngl,193728.0,"['argentine hip hop', 'rap underground espanol']",Acru,59
3XBw8ImFEo86mEB2dYh0vS,46708.0,"['argentine indie', 'pop argentino']",Zoe Gotusso,55
6kPvFQoD8mzPv5IkOV8PUi,1529.0,[],DJ Roma Oficial,60
5CA5IqbsFr4hpNLdjgO0BU,42659.0,['cumbia pop'],DJ Tao,59
7dlkBH23ERFXxuNoMHq94Y,188452.0,[],Q' Lokura,65
5AmJYBIvICxss43P05MkU8,111419.0,['dominican pop'],La Ross Maria,60
6Itjwvv5YmsC8ZcI5N4Jux,3724.0,[],Sael,50
0cmBbO2sr4w0rRGt3rKvs6,113616.0,"['modern ska punk', 'punk', 'ska', 'ska punk', 'skate punk']",Mad Caddies,51
05lGoXu9JR7S0vzqUhVCsQ,4588.0,"['hoerspiel', 'reading']",David Nathan,60
6zn86iqNCkQZqsBvEv6oBO,11063.0,"['kindermusik', 'kleine hoerspiel']",Ritter Rost,53
7If8DXZN7mlGdQkLE2FaMo,298886.0,"['heartland rock', 'new jersey hardcore', 'new jersey indie', 'new jersey punk', 'skate punk']",The Gaslight Anthem,58
05ndiewdJogtosuRWN8iwF,43766.0,"['classic hardstyle', 'hardstyle', 'rawstyle']",Adaro,54
04M031J6AL6BMAl8mRYxHy,9625.0,['deep german hip hop'],Jeaw,51
185m2EJWTIm36MdqguiU8T,8881.0,"['german dance', 'slap house']",Freischwimmer,53
0cuXND9aMsZhko0y3w8uxw,18540.0,[],Vincent Lee,52
5yNlFmp5vESd61p6Ob3Qzo,18551.0,['german pop'],Lary,54
4aPxTp3QINmhf9xJJeV2Fu,656.0,[],Neil Richards,50
431KEVcAHxXyC94cgMy9MZ,27955.0,['turbo folk'],Rimski,50
1udPbK2uKdBxyEfBpTl1mm,89.0,[],Die Flohtöne,51
5hNRMsMMDlMIvEwu4UvjQO,74884.0,"['deep german hip hop', 'german hip hop', 'german underground rap']",Sinan-G,58
1HORQCHE3Q4m0tAKiRsIAB,101451.0,"['antideutsche', 'german alternative rap', 'indie deutschrap']",Antilopen Gang,54
3TqfPVt0HX8GCzNOOjDcum,164163.0,"['deep german hip hop', 'german hip hop']",Sun Diego,53
3ovjYwwSGHLzEkRswfpxmb,222208.0,['german pop'],Die Lochis,51
2b6Cbp1cgD0hwisrGbKsZJ,944.0,[],Freedo,57
4sOLJi96MhdlMv5Iz9YZT9,36740.0,"['south african alternative', 'south african pop', 'south african rock']",Sean Koch,52
3JE0uoggWwwYG6rSSJk0HN,102338.0,['german indie'],FIL BO RIVA,56
2OUL2T3SNcApUdrOOXjY9g,684.0,['kleine hoerspiel'],Florian Lamp,54
3ygqQTBSK8J8EcverijxFD,13126.0,"['kleine hoerspiel', 'lesen']",Sabine Städing,55
2IP71LH7CbwddhsEXBI0fy,22328.0,['drum and bass'],1991,53
5PQVAGtwANqHreEKQJthOU,59392.0,"['german alternative rap', 'german cloud rap', 'german hip hop', 'german trap']",negatiiv OG,60
1ZHJdXXtKnmUh2qRN4LmbS,235506.0,"['german pop', 'german rock', 'schlager']",Ben Zucker,59
74pYbw2hCJjXyYitTfyT9F,13829.0,['german trap'],NARU,52
0nSloWzkGWXwj1v8nOI0Ma,45192.0,"['german pop', 'german r&b']",Teesy,51
74yjU6gHx05PeHAokao6DS,15457.0,"['german trap', 'indie deutschrap']",NUGAT,53
2IjiuEObrCKyZvSb8xLxG9,109668.0,"['deep tropical house', 'tropical house']",filous,62
0aZu9zUfF2EgTHyBbZlW1C,57044.0,"['cologne hip hop', 'deep german hip hop', 'german cloud rap', 'german trap', 'indie deutschrap']",LGoony,50
0n1kV1G3NQrfuLGJosIGxb,46185.0,"['german hip hop', 'german trap']",Longus Mongus,66
41LLNWUptvfbQ9Q7oCefmg,423673.0,"['christlicher rap', 'deep german hip hop', 'german hip hop']",Genetikk,64
0lFLP59V4TY3XgnrkFIwxK,293146.0,"['frauenrap', 'german pop', 'german viral rap']",Katja Krasavice,64
0a7ReNgiORz9sEajzbbmqw,7354.0,['kleine hoerspiel'],Spirit,54
4R0FKprdEeUIbzAwhrYTv2,146741.0,"['german hip hop', 'german trap']",Elias,60
4A7HeXSd4HtQuf6IR5XZ1b,411347.0,['german hip hop'],Fero47,60
6wlk4iqaEgEvADMVG6QMd8,52756.0,"['indie anthem-folk', 'indie cafe pop', 'uk pop']",James Gillespie,54
6eZD2i7kAelKt5z1ytH0Me,64.0,[],Lamarquis Jefferson,50
5cL7VO0XEyVE16PDCrkZ5V,1020.0,['sound'],Rain Sounds Nature Collection,54
6awzBEyEEwWHOjLox1DkLr,173900.0,"['mashup', 'pittsburgh indie']",Girl Talk,54
0tTLmQvo0tn8vYlpJpA2no,68006.0,"['australian pop', 'australian rock', 'pop rock']",Thirsty Merc,53
6CsleyOZtyt16saX8WhzDx,181202.0,"['abstract hip hop', 'alternative hip hop', 'conscious hip hop', 'hip hop', 'minnesota hip hop', 'political hip hop', 'underground rap']",Brother Ali,53
3mZqziCJj4pq3P2VBpmK6p,221516.0,"['alternative dance', 'dance rock', 'dance-punk', 'indietronica', 'new rave']",Friendly Fires,51
500YRyClzP6Z7HtWd1BIje,42423.0,"['australian indie', 'australian pop']",Northeast Party House,52
7tje8UB3cuR1ZfeJx2U38T,71625.0,"['contemporary country', 'country pop', 'country road', 'modern country rock']",Logan Mize,60
1ououJVWgWsHWMYDLvT7sH,114763.0,"['australian garage punk', 'australian indie', 'australian pop', 'brisbane indie']",Ball Park Music,56
3N9qpKjXarCt5AIZRCeqr8,95989.0,"['australian hip hop', 'australian indie', 'australian trap', 'australian underground hip hop']",Seth Sentry,51
0E3lRHTut04XpirvWC45bn,23698.0,"['broadway', 'hollywood', 'indie pop', 'show tunes']",Ryan McCartan,59
1yYOdNoOE03lCh6qo472CK,3749.0,[],Tui T. Sutherland,53
7bgWYLE4XMlxWcenBQfvf2,246.0,[],Shannon McManus,52
4UzQ37Y0rzonVpsXpcNyFH,64681.0,"['australian alternative rock', 'australian indie', 'australian pop', 'australian singer-songwriter']",Josh Pyke,50
6KPdmtIl0LA5mRFSqseWhI,76380.0,"['alternative emo', 'anthem emo', 'aussie emo', 'pop punk']",Trophy Eyes,50
0WicR9iYAPd0Bi7i3bz9MB,24975.0,"['contemporary country', 'country pop']",Abby Anderson,50
30BDCIM0IdglDaLzvCYd0N,110779.0,"['australian metalcore', 'melodic metalcore', 'metalcore']",In Hearts Wake,51
6pOtVlJugMBAdUU8OU1xDe,9611.0,['melbourne indie'],Ainslie Wills,50
6UBMFaCTZnL1Hr1nTOEblM,40549.0,"['australian electropop', 'australian indie', 'australian pop']",Gordi,52
2NqgE99Ll5vOTvmbN7O2R6,224743.0,"['australian indie', 'australian indie folk', 'australian pop']",Boy & Bear,60
1ZcnsSFqWusWlRK01vKE6b,59414.0,"['australian indie', 'australian pop']",Montaigne,56
07Q9n9pbwR6jQ8xH4SA46b,95042.0,"['australian pop', 'australian talent show', 'dance pop']",Justice Crew,51
0lYzZ91QzokaPrRK1vq6tW,26736.0,"['australian pop', 'gauze pop']",Nicole Millar,50
3K40SMapVhc8PxyYFofHff,92064.0,"['emo rap', 'underground hip hop']",Corbin,60
1SFz3S9eSUTc49ysstadiO,75205.0,"['aussietronica', 'australian indie', 'australian pop']",Boo Seeka,52
0NhKCHTPG7Sz62S3zxV1Cf,10618.0,[],Ecca Vandal,53
6DW1Yqi5B34jRtn9hPLvFp,82456.0,"['aussie emo', 'australian garage punk', 'australian indie']",The Smith Street Band,50
6f5yObGSpFj9eJL55GBzrb,23432.0,"['australian indie', 'australian pop', 'vapor soul']",LANKS,50
3Qs1EAnyqWLaNqk0wHS63M,4463.0,"['sleep', 'water']",Rain Sound Studio,58
4QkSD9TRUnMtI8Fq1jXJJe,230244.0,"['baltimore indie', 'bubblegrunge', 'indie pop', 'indie rock']",Snail Mail,55
49r28kFLIBUEgxnjLUvUwA,1721.0,"['atmosphere', 'background music', 'focus']",Michel LeBond,51
3vvY6bfFNRymVmylw2vfGy,50.0,[],Akvavit,57
3WPHQWwZQNf7VcbeQFhaXF,725.0,[],Neon Eyes,58
5u0dE6Vw509dFP0YK5y8lc,1497.0,['sound'],Epic Soundscapes,59
6kqOxJqJ4r4cIlbYR4GbP4,2268.0,[],"oh, the joy.",62
35YkpX0zYwHG8vOIhObvxP,2639827.0,"['forro', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']",Mano Walter,65
5I2d294l90n7EMWVNUZczE,55343.0,"['dutch hip hop', 'dutch pop', 'dutch rock']",Lange Frans,57
4oVERQ0AxzzQ4zip1nMKlt,77565.0,"['french hip hop', 'rap conscient']",Gringe,52
74ycentHh1YZrW5x4PLnox,30266.0,"['belgian edm', 'big room', 'crust punk', 'electro house', 'sky room']",Wolfpack,55
17ynEC4GysdLM4R66FmghW,6726.0,[],Stavros Martina,50
3HL2hJ9MmM9eazDokIndkr,231795.0,"['dutch hip hop', 'dutch rap pop']",SBMG,58
5JcSyYpBdqCmjJyVlKh7Yg,35969.0,"['rawstyle', 'xtra raw']",Rebelion,53
758yIKdhJhWL6oTuTSFVV6,34645.0,"['compositional ambient', 'neo-classical']",Dirk Maassen,60
2Muef9e20frSc14ocV9TQU,37180.0,"['dutch hip hop', 'dutch rap pop']",Pierrii,56
0dSh0CIa0HPd9kJmJSmGQo,59620.0,"['belgian hip hop', 'french hip hop', 'pop urbaine', 'rap belge', 'rap calme', 'rap francais', 'rap inde']",ISHA,52
1LsW7KoHTgRLcZ7Jwt79MR,62531.0,"['belgian rock', 'classic belgian pop', 'flemish folk', 'kleinkunst']",Bart Peeters,52
0OQMxt6l70FM2YlLwYDiEn,82437.0,"['belgian hip hop', 'french hip hop', 'rap calme']",Swing,53
5hEZc6Innys0o99gLeha3K,15785.0,['dutch tech house'],Klaus Veen,59
